ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,4,,,,,
,,,5,,,,,
,,,6,"The Ovation Developer Studio for Standalone Controller (in general) will look and operate like Ovation Developer Studio on a standard Ovation system.  There will be functional differences, however, in the version used for engineering a Standalone Controller.",,,,
1584,Test Case,5.9.2.5.1 Test : Verify if Ovation Developer Studio for Standalone Controller (in general) will look and operate like Ovation Developer Studio on a standard Ovation system.,,,,,,
,,,1,,,,,
,,,2,"The standalone controller database will be limited to the definition of 1 Standalone Controller, which will not be an Ovation drop (e.g., no Drop ID specification).  [Source Req. 2.3]",,,,
,,,3,The Engineering Tools for Standalone Controller software will prevent the user from defining received points for the Standalone Controller.  This is further enforced since the single Standalone Controller is the only entity where Ovation points can be defined in a Standalone Controller database.  [Source Req. 1.8],,,,
,,,4,The only supported Standalone Controller drop types/styles will be OCR3000 and OCC100.  The OMC100 and OCRVirt will be supported in the future.  [Source Req. 1.1],,,,
,,,5,Standalone Controller drop types/styles will have the same configurations as their counterparts in Ovation with respect to redundancy (simplex/redundant) and Ovation point counts.  [Source Req. 1.2] [Source Req. 1.3],,,,
,,,6,The list of configurable I/O Drivers for the Standalone Controller will be the same as their counterparts in Ovation with the following omissions [Source Req. 1.6] [Source Req. 1.7]:,,,,
,,,7,"	Ovation SIS and Ovation SIS CHARMs",,,,
,,,8,"	Foundation Fieldbus (this implies that Foundation Fieldbus modules will also not be supported)",,,,
,,,9,"	DeviceNet (this implies that DeviceNet modules will also not be supported)",,,,
,,,10,"	Ovation Multi-Network (ExternalOvationNetwork)",,,,
,,,11,Standalone Controllers will not support Q-Line modules.  Note that this is implicitly enforced since none of the supported Standalone Controller drop types/styles support Q-Line in a standard Ovation system.  [Source Req. 1.6],,,,
1585,Test Case,5.9.2.5.2.1 Test : Verify thet Engineering Tools will prevent the user from defining received points for the Standalone Controller,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1586,Test Case,5.9.2.5.2.2 Test : Determine if only supported Standalone Controller drop types/styles will be OCR3000 and OCC100,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1587,Test Case,5.9.2.5.2.3 Test : Verify support of IO drivers,,,,,,
,,,1,,,,,
,,,2,Refer & execute CONTROLLER_SVTP_rev5.14.docx for detailed steps for this checking,,,,
1588,Test Case,5.9.2.5.2.4 Test : Verify if Standalone Controllers do not support Q-Line modules.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"The licensing of Standalone Controller related items (e.g., point License Tiers, ELC and Embedded Link protocols, etc.) will be based on the MAC address of the Standalone Controller (primary side if redundant).  These will be licenses separate from the license used for the Ovation Standalone software itself.  When launched from Ovation Developer Studio, the License Manager will utilize the MAC address as obtained from the connected Standalone Controller.  If running in a disconnected state, the MAC address as defined in the database will be used.  [Source Req. 1.9]",,,,
,,,4,,,,,
,,,5,,,,,
,,,6,The Ovation Developer Studio will support operation in a read-only mode.  This will be employed if the connected user is an Operator or if any user has connected to a Standalone Controller which has been locked (for engineering) by another user from another computer.  The Ovation Developer Studio running in read-only mode will have the following differences:,,,,
,,,7,"	The following Operations are disabled, regardless of the user’s Ovation security configuration:  Insert New..., Delete, Purge, Copy, Load, Download, Reboot, Clear, Reconcile, Create Baseline..., Control Options..., Import (Graphics), Coefficient Calc, and Restore.",,,,
,,,8,"	When launched from Ovation Developer Studio, the Ovation Graphics Builder will run in read-only mode.",,,,
,,,9,"	Ovation Developer Studio will not launch the Ovation Control Builder.",,,,
1589,Test Case,5.9.2.5.4.1 Test : Verification of Read-only mode,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,A new right-click Operation will be defined for the Standalone Controller database object.  This operation will permit the user to perform the following [Source Req. 2.8]:,,,,
,,,7,"	Perform an explicit download of the Standalone Controller database (and supporting files) to the Standalone Controller.",,,,
,,,8,"	Enable/disable the implicit download of the Standalone Controller database (and supporting files) to the Standalone Controller immediately following each successful Load to the Standalone Controller.",,,,
,,,9,The following Operations will be disabled unless the user is currently connected to the Standalone Controller in a locked state:,,,,
,,,10,"	Load",,,,
,,,11,"	Download",,,,
,,,12,"	Reboot",,,,
,,,13,"	Clear",,,,
,,,14,"	Reconcile",,,,
,,,15,"	Restore",,,,
1590,Test Case,5.9.2.5.5.1 Test : Verify new right-click Operation,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1591,Test Case,5.9.2.5.5.2 Test : Verfy if Operations will be disabled unless the user is currently connected to the Standalone Controller in a locked state,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"The HMI Applications will be installed as part of the Ovation Standalone Software and will not require the computer to be part of a domain. The HMI Applications will be updated to run in a standalone mode based on a new configuration parameter set by Developer’s Studio.  The Standalone HMI Applications can be initiated after the user is connected to the Standalone Controller.  When the user connects as an Operator, the data that the HMI Applications use, such as configuration, data files, etc., will be uploaded and installed. [Source Req 3.1]",,,,
,,,4,A user can only connect to one controller at a time from a specific computer.  [Source Req 3.2],,,,
,,,5,"Multiple users (operators, engineers, or administrators) will be able to connect to the same Standalone Controller providing they connect from different machines. The Standalone Controller will allow at least three simultaneous connections. [Source Req 3.3] Once the user is connected, they will be able to initiate the HMI Applications. When the user disconnects from the Standalone Controller, any running HMI Applications will terminate.",,,,
,,,6,The following HMI Applications will be supported in the Standalone Mode. [Source Req 3.4],,,,
,,,7,"	Graphics",,,,
,,,8,"	Point Information",,,,
,,,9,"	Trend",,,,
,,,10,"	Point Review",,,,
,,,11,"	Standalone Alarm Window",,,,
,,,12,"	Signal Diagram",,,,
,,,13,"	Ovation Machine Works",,,,
,,,14,"	Sensor Calibrate",,,,
,,,15,"	Controller Diagnostics",,,,
,,,16,"	Session Manager",,,,
,,,17,"	Error Log",,,,
,,,18,The Standalone HMI Alarm Software will only provide the current points in alarm.  This supports only an “Alarm List” none of the other “List” types are available. The Standalone HMI Software will not provide the following:,,,,
,,,19,"	Alarm Printer",,,,
,,,20,"	Audible Alarm",,,,
,,,21,"	Alarm Graphics Groups (However the priority icon will be supported)",,,,
,,,22,"	Alert Details (Fieldbus is not being supported)",,,,
,,,23,"	Ovation Keyboard",,,,
,,,24,"The Standalone HMI Applications will support the Ovation Security Rules, which enables or disables the ability to perform the Operator Functions (such as scan on, scan off, etc.) based on the user that is currently logged into the Standalone Controller.",,,,
1592,Test Case,5.9.3.1 Test : Verify if the HMI Applications will be installed as part of the Ovation Standalone Software,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"i.	Graphics",,,,
,,,4,"ii.	Point Information",,,,
,,,5,"iii.	Trend",,,,
,,,6,"iv.	Point Review",,,,
,,,7,"v.	Standalone Alarm Window",,,,
,,,8,"vi.	Signal Diagram",,,,
,,,9,"vii.	Ovation Machine Works",,,,
,,,10,"viii.	Sensor Calibrate",,,,
,,,11,"ix.	Controller Diagnostics",,,,
,,,12,"x.	Session Manager",,,,
,,,13,"xi.	Error Log",,,,
,,,14,,,,,
1593,Test Case,5.9.3.2 Test : Verify if a user can only connect to one controller at a time from a specific computer,,,,,,
,,,1,,,,,
,,,2,,,,,
1594,Test Case,"5.9.3.3 Test : Verify if Multiple users (operators, engineers, or administrators) will be able to connect to the same Standalone Controller providing they connect from different machines.",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1595,Test Case,5.9.3.4 Test : Verify if Standalone HMI Alarm Software will only provide the current points in alarm.,,,,,,
,,,1,,,,,
,,,2,,,,,
1596,Test Case,"5.9.3.5 Test : Verify if Standalone HMI Software will not provide Alarm Printer, Audible Alarm,Alarm Graphics Groups (However the priority icon will be supported),Alert Details (Fieldbus is not being supported),Ovation Keyboard",,,,,,
,,,1,,,,,
,,,2,"i.	Alarm Printer,",,,,
,,,3,"ii.	Audible Alarm,",,,,
,,,4,"iii.	Alarm Graphics Groups (However the priority icon will be supported),",,,,
,,,5,"iv.	Alert Details (Fieldbus is not being supported),Ovation Keyboard",,,,
1597,Test Case,5.9.3.6 Test : Verify if Standalone HMI Applications will support the Ovation Security Rules,,,,,,
,,,1,,,,,
,,,2,"The Standalone Controller shall support any of the Communication Protocols available for the Controllers within the Communication Protocols Suite (CPS).  The CPS software will be installed via the CPS 3.3 release software.  Protocols will be configured using the CPS configuration tools the same way as in the traditional Ovation system.  This includes the native “Embedded Ethernet Protocol” embedded in the OCC100, OCR3000, OMC100 (future), OCRVirt (future) and the Ethernet Link Communications (ELC) modules. [Source Req 1.5]",,,,
1598,Test Case,5.9.4.1 Test :Verify if  Standalone Controller support for Communication Protocols Suite (CPS),,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1599,Test Case,5.10.1.1 Test : To verify that the Standalone Controller will authenticate human users via username/password.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1600,Test Case,5.10.1.2 Test : To verify that the Standalone Controller will manage accounts associated with the controller.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1601,Test Case,5.10.1.3 Test : To verify that the Standalone Controller will manage identifiers to ensure that unique identifiers are used for each user account,,,,,,
,,,1,,,,,
,,,2,,,,,
1602,Test Case,"5.10.1.4 Test : To verify that Standalone Controller shipped from the factory will have no initial authenticator information.  The Standalone Controller will force the user to define an Administrator password during the initial setup.  The Standalone Controller will have an option to force periodic refresh of passwords (passwords expire – default is never expire, duration of expiration will be configurable).",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,,,,,
,,,8,,,,,
1603,Test Case,"5.10.1.5 Test : To verify that Standalone Controller will have the ability to enforce password strength, based on minimum length, and variety of characters. Prevention of password reuse is not required.",,,,,,
,,,1,"Note, the controller will not allow this to be configurable.  It will use a hard-coded password strength algorithm.  This will simplify the design of the password strength.",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,,,,,
1604,Test Case,"5.10.1.6 Test : To verify that The Standalone Controller will obscure feedback of the password when being entered by the user, i.e. display asterisks.  It will also not give any clue to whether the username or password is invalid for a failed authentication attempt, such as “unknown username”.",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1605,Test Case,5.10.1.7 Test : To verify that in case of “Unsuccessful login attempts” controller will limit consecutive attempts using a hard-coded algorithm.,,,,,,
,,,1,Note- The algorithm will not be configurable.  This will simplify the design,,,,
,,,2,,,,,
,,,3,,,,,
1606,Test Case,5.10.1.8 Test : To verify that Standalone Controller will have the optional capability to display a customizable System Use Notification that will be displayed during user access before authentication,,,,,,
,,,1,,,,,
,,,2,,,,,
1607,Test Case,5.10.2.1 Test : To verify that The Standalone Controller and Tools will have role-based policies to enforce that the authenticated users can perform the requested action based on their assigned responsibilities.,,,,,,
,,,1,"Note, controller diagnostics currently does not check for user role for module firmware download and reboot.  Future enhancement will be to add a check for “is role enabled” for controller diagnostics to see if the user is authorized for controller diagnostics.",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,,,,,
1608,Test Case,5.10.2.2 Test : To verify that The Ovation Controller does not have wireless access,,,,,,
1609,Test Case,"5.10.2.3 Test : To verify that controller web interface will use a limited amount of Java Script, but it will not execute arbitrary Java Script.  All web pages that are hosted on the controller will be standard and released via the signed binary image",,,,,,
,,,1,,,,,
,,,2,,,,,
1610,Test Case,5.10.2.4 Test : To verify that controller implements a session-lock internally and expires after 1 hour.,,,,,,
,,,1,,,,,
1611,Test Case,5.10.2.5 Test : To verify that Events can be monitored and audited using the Error Log and Audit Viewer.,,,,,,
,,,1,"Note:- Operator events are not supported at this time.To support auditable events from the controller’s perspective, the controller would require significant changes.  At this time, we will handle auditing the same as it is done in an Traditional Ovation System.",,,,
,,,2,,,,,
,,,3,,,,,
1612,Test Case,5.10.2.6 Test : To verify that Audit information will be stored in the database which archived in the controller.,,,,,,
,,,1,Note:- Capacity of audit-information is limited to a specific size,,,,
,,,2,,,,,
,,,3,,,,,
1613,Test Case,5.10.2.7 Test : To verify the Controller response to audit processing failures,,,,,,
,,,1,N.A. (Note:- controller does not directly process audit information so this will not be an issue),,,,
1614,Test Case,5.10.2.8 Test : To verify that Controller creates timestamps based on the configured NTP time source,,,,,,
,,,1,,,,,
,,,2,,,,,
1615,Test Case,"5.10.3.1 Test : To verify that The controller will use typical methods for verifying/preserving integrity of communications.  This includes checksums/crcs/sequence numbers.  In some cases, this is limited to the protocol which already exists.  All new communications to the controller that is related to the Standalone feature will use HTTPS which has various checks for integrity",,,,,,
,,,1,,,,,
,,,2,,,,,
1616,Test Case,"5.10.3.2 Test : To verify that The controller will use the standard application signing that verifies the loaded software has been signed.  The signing process happens as part of the official software build process.  Loading of unsigned software will result in an error, and the software will not execute",,,,,,
,,,1,Testing steps are below :,,,,
,,,2,The purpose of this test is to verify that the controller(s) will not load unsigned versions of specific software.,,,,
,,,3,,,,,
,,,4,"a.	On DB Server",,,,
,,,5,"b.	Make backup copy of signed kernel – c:\tftpboot\vxworks.ocr3000",,,,
,,,6,"c.	Copy unsigned kernel to c:\tftpboot\vxworks.ocr3000",,,,
,,,7,"d.	Restart CBS service (controller boot service)",,,,
,,,8,"e.	Format OCR3000 disk (use serial cable and ‘F’ command using boot menu  -or- put controller in new slot)",,,,
,,,9,"f.	Verify controller is booting from DB server by monitoring BOOTP and TFTP messages in Ovation Error Log",,,,
,,,10,"g.	Verify controller will not start and does not indicate “ss_rpc: ready to be downloaded”",,,,
,,,11,"h.	Error message to putty console:",,,,
,,,12,Attempting to load “/bd0/boot/xWorks” from disk ... file not found.,,,,
,,,13,Attempting to load from the network ... Loading... Unable to read Module Info – attempt copy to RamDisk,,,,
,,,14,Loading Image in 20M ram disk,,,,
,,,15,"Instantiating /bootDrv:0 as rawFs,  device = 0x40001",,,,
,,,16,Formatting /bootDrv:0 for DOSFS,,,,
,,,17,"Instantiating /bootDrv:0 as rawFs, device = 0x40001",,,,
,,,18,Formatting...Retrieved old volume params with %38 confidence:,,,,
,,,19,"Volume Parameters: FAT type: FAT32, sectors per cluster 0",,,,
,,,20,"0 FAT copies, 0 clusters, 0 sectors per FAT",,,,
,,,21,"Sectors reserved 0, hidden 0, FAT sectors 0",,,,
,,,22,"Root dir entries 0, sysId (null)  , serial number d390000",,,,
,,,23,Label:”           “ ...,,,,
,,,24,Disk with 40000 sectors of 512 bytes will be formatted with:,,,,
,,,25,"Volume Parameters: FAT type: FAT16, sectors per cluster 2",,,,
,,,26,"2 FAT copies, 19904 clusters, 79 sectors per FAT",,,,
,,,27,"Sectors reserved 1, hidden 0, FAT sectors 158",,,,
,,,28,"Root dir entries 512, sysId VXDOS16 , serial number d390000",,,,
,,,29,Label:”boot       “ ...,,,,
,,,30,Copying to RamDisk,,,,
,,,31,Key Validation failed.,,,,
,,,32,"i.	Restore original signed kernel – c:\tftpboot\vxworks.ocr3000",,,,
,,,33,"j.	Restart CBS service (controller boot service)",,,,
,,,34,"k.	Reboot controller & Query/Download as normal.",,,,
,,,35,,,,,
,,,36,"a.	On DB Server",,,,
,,,37,"b.	Make backup copy of signed monolith – C:\Ovation\Embedded\controller\ocr3000\boot\ocr3000Ctlr.out",,,,
,,,38,"c.	Copy unsigned kernel to C:\Ovation\Embedded\controller\ocr3000\boot\ ocr3000Ctlr.out",,,,
,,,39,"d.	Query/Download OCR3000",,,,
,,,40,"e.	Restart OCR3000",,,,
,,,41,"f.	Verify controller does not boot and is not available on network",,,,
,,,42,"i.	Serial cable connection during boot should show specific error message:",,,,
,,,43,# ocr3000_startup.scr,,,,
,,,44,ld < /bd0/boot/ocr3000Ctlr.out,,,,
,,,45,ld(): error loading file (errno = 0x61001f).,,,,
,,,46,"ii.	Type “printErrno 0x61001f” and verify the error is “SIG_KEY_INVALID”",,,,
,,,47,-> printErrno 0x61001f,,,,
,,,48,errno = 0x61001f : S_loadElfLib_SIG_KEY_INVALID.,,,,
,,,49,"g.	Restore original signed monolith – C:\Ovation\Embedded\controller\ocr3000\boot\ ocr3000Ctlr",,,,
,,,50,"h.	Use serial cable to format flash disk (press any key during boot, then ‘?’ for help, do format command “F”)",,,,
,,,51,"i.	Reboot with the “@” command.",,,,
,,,52,"j.	Controller should boot, then query download as normal.",,,,
1617,Test Case,5.10.3.3 Test : To verify that documentation will be updated to indicate to the user how to verify all security features are working properly,,,,,,
,,,1,,,,,
1618,Test Case,"5.10.3.4 Test : To verify that The controller will not execute if the main software application has been tampered with.  Additional software that is loaded besides the main software will result in an error message if the signature checks fail, and the software will not be loaded",,,,,,
,,,1,This will include following to checks,,,,
,,,2,"a.	Execute the 2nd test mentioned in 5.10.3.2 Verify OCR3000 will not load unsigned monoliths (*.out) files",,,,
,,,3,"b.	Change the Startup script to include loading of unsighned *.out file. Download the Controller and reboot the Controller. Using Console verify that this *.out should not get loaded.",,,,
1619,Test Case,5.10.3.5 Test : To verify that The controller will use typical methods for input validation.  Controller inputs include hardwired/networked input/output.  These values are checked according to point ranges defined by the engineering tools.  Changes to values such as setpoints are performed by network communications and are also subject to range checks during the handling of the setpoint change message,,,,,,
,,,1,,,,,
,,,2,,,,,
1620,Test Case,5.10.3.6 Test : To verify that The controller will use its standard method for deterministic outputs. This includes the “Timeout Action” and “Timeout Selection” feature that exists on the I/O Modules,,,,,,
,,,1,,,,,
,,,2,,,,,
1621,Test Case,5.10.3.7 Test : To verify that Error Handling,,,,,,
,,,1,The controller will not provide any error message to assist an attacker in knowing why an authentication failed.  This includes:,,,,
,,,2,"	Webpage access",,,,
,,,3,"	Access from the Standalone Tools",,,,
,,,4,"	Error messages in the Ovation Error Log",,,,
,,,5,"	Error messages returned in the HTTPS response",,,,
,,,6,"	Error messages in the Controller’s Error Buffer",,,,
,,,7,"	Error messages in the Controller’s serial output",,,,
,,,8,,,,,
,,,9,,,,,
,,,10,"I.	Webpage access",,,,
,,,11,"II.	Access from the Standalone Tools",,,,
,,,12,"III.	Error messages in the Ovation Error Log",,,,
,,,13,"IV.	Error messages returned in the HTTPS response",,,,
,,,14,"V.	Error messages in the Controller’s Error Buffer",,,,
,,,15,"VI.	Error messages in the Controller’s serial output",,,,
1622,Test Case,5.10.3.8 Test : To verify that Controller and Tools will support patching similar to Ovation.,,,,,,
,,,1,,,,,
1623,Test Case,5.10.3.9 Test : To verify that Integrity of the boot process,,,,,,
,,,1,,,,,
,,,2,"a.	On DB Server",,,,
,,,3,"b.	Make backup copy of signed kernel – C:\Ovation\Embedded\controller\ocr3000\boot\vxWorks",,,,
,,,4,"c.	Copy unsigned kernel to C:\Ovation\Embedded\controller\ocr3000\boot\vxWorks",,,,
,,,5,"d.	Query/Download OCR3000",,,,
,,,6,"e.	Restart OCR3000",,,,
,,,7,"f.	Verify controller does not boot and is not available on network",,,,
,,,8,"i.	Serial cable connection during boot should show specific error message:",,,,
,,,9,Attempting to load “/bd0/boot/xWorks” from disk ...,,,,
,,,10,Loading /bd0/boot/xWorks ...,,,,
,,,11,Key Validation failed.,,,,
,,,12,"g.	Verify controller will give up and boot from network and start ss_rpc (ss_rpc: ready to be downloaded)",,,,
,,,13,"h.	Restore original signed kernel – C:\Ovation\Embedded\controller\ocr3000\boot\vxWorks",,,,
,,,14,"i.	Query download as normal.",,,,
1624,Test Case,5.10.4.1 Test : To verify Information confidentiality.,,,,,,
,,,1,Note:- Ovation does not use confidential information. The VPN file has a pre-shared key that is stored openly at rest. The user must protect access to the controller if the pre-shared key is sensitive.,,,,
,,,2,,,,,
1625,Test Case,5.10.4.2 Test : To verify that use of cryptography.,,,,,,
,,,1,The Standalone controller makes use of 2 different types of cryptography.  The main cryptography method is for the HTTPS connection between the controller and the tools.  The secondary method is for the VPN connection (ESP packets) which is an optional feature.,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,"Verify that the HTTPS requires the use of certificates to provide the private and public keys needed to encrypt, decrypt, sign, and verify the request.",,,,
,,,5,ii) Verify the HTTPS connection can be succesfully estabilished by,,,,
,,,6,login to the controller portal using HTTPS instead of HTTP in the url (for ex: https://192.168.100.45:9292/v1/login) via the Edge browser. (Note:- for HTTP port 9191 will be used while for HTTPS port 9292 will be used ),,,,
,,,7,"iii) Verify that on successful login to the controller portal, the connection made is secure as the warning message saying “Not secure” should not appear on the browser.",,,,
,,,8,"iv) Capture the network packets between Standalone Controller and station using wireshark for HTTPS packets, Network packets should show these messages as TLS packets.",,,,
,,,9,Verify if it implements all securuty related measures like checksums/crcs/sequence numbers.,,,,
,,,10,"Also, Verify that there is no information available like username, password etc.",,,,
,,,11,,,,,
,,,12,,,,,
,,,13,"ii)	Capture the network packets between Standalone Controller and station using wireshark and verify if it implements checksums/crcs/sequence numbers.",,,,
,,,14,"iii)	Capture the network packets between Standalone Controller and station using wireshark, Network packets should show these messages as ESP packets.",,,,
,,,15,"iv)	Verify that there is no information available like username, password etc.",,,,
1626,Test Case,5.10.5.1 Test : Network segmentation,,,,,,
,,,1,"To verify that the controller supports network segmentation by the way of configurable IPv4 addresses, network routes, default gateways",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,Systems > Networks >UNIT>SAC controller>Configuration> Controller Networking,,,,
,,,5,,,,,
,,,6,,,,,
1627,Test Case,5.10.6.1 Test : To verify Audit log accessibility. Audit logs are accessible by the standard Ovation Audit Viewer and Ovation Error Log Viewer.,,,,,,
,,,1,Note:- The Error Log Viewer will only record log information while PC hosting the log viewer is running the error log server that is started at boot time.  The controller will not buffer log message that are sent to the Error Log.,,,,
,,,2,The controller will also use the “printErrorBuffer” advanced command for field/remote advanced troubleshooting of standalone controllers.  This buffer is the same that is available in the standard Ovation controller.,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1628,Test Case,5.10.7.1 Test : To verify the Denial of service protection. The controller will use standard practices for Denial-of-Service protection.  This includes limiting the impact of the login process such that an attacker cannot prevent a valid user from logging in.,,,,,,
,,,1,,,,,
1629,Test Case,5.10.7.2 Test : To verify the Resource management. The controller uses a priority-based operating system that prioritize the essential controller functions so that any ancillary security function cannot adversely impact the essential control functions.,,,,,,
,,,1,"Note:- The controller does not support network scans or anti-virus checks.  The only function that is applicable is patching, which is done through the download/reboot process which does not affect the control functions.  This is the same as in a Standard Ovation System.",,,,
,,,2,,,,,
1630,Test Case,5.10.7.3 Test : To verify the Control system backup. The standalone controller will be able to have backups by saving the database from the controller to an offline location using the standalone tools.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,,,,,
,,,8,,,,,
,,,9,,,,,
1631,Test Case,5.10.7.4 Test : To verify the Control system recovery and reconstitution. The standalone controller will be able to be recovered and reconstituted from the backup database using the standalone tools.,,,,,,
,,,1,,,,,
1632,Test Case,"5.10.7.5 Test : To verify the Network and security configuration settings. The Ovation Controller will not have any explicit security settings.  The network settings are provided by the standard Ovation settings for IP Address, Subnet Mask, Speed/Duplex, Default Gateway, Route, and Shared Address.  These settings are managed from Developer’s Studio in the same way an in a Traditional Ovation system.",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1633,Test Case,5.10.7.6 Test : To verify the Least functionality. Controller will limit the ports that are not needed. Controller will limit the functions available via the Rest Server.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,Record Software and Equipment Used Information,,,,
,,,4,Ovation Software Level,,,,
,,,5,Database Server,,,,
,,,6,Opcon/Engineering Station,,,,
,,,7,Controller,,,,
,,,8,Test Procedure Section,,,,
,,,9,Document Revision Index and Record of Changes,,,,
,,,10,0 Software Test Identifier,,,,
,,,11,0 Purpose,,,,
,,,12,0 Approach,,,,
,,,13,0 Features,,,,
,,,14,0 Procedure Steps,,,,
,,,15,1  SRF 2347,,,,
,,,16,2  SRF 2347,,,,
,,,17,3  SRF 2347,,,,
,,,18,4  SRF 2347,,,,
,,,19,5  SRF 2347,,,,
,,,20,Tester Name:,,,,
